airline_sentiment,text,cleaned_text
positive,@VirginAmerica plus you've added commercials to the experience... tacky.,plus youve added commercials to the experience tacky
neutral,@VirginAmerica I didn't today... Must mean I need to take another trip!,I didnt today Must mean I need to take another trip
negative,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",its really aggressive to blast obnoxious entertainment in your guests faces amp they have little recourse
negative,@VirginAmerica and it's a really big bad thing about it,and its a really big bad thing about it
positive,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",yes nearly every time I fly VX this ear worm wont go away
positive,"@virginamerica Well, I didn't…but NOW I DO! :-D",Well I didntbut NOW I DO D
positive,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",it was amazing and arrived an hour early Youre too good to me
neutral,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,did you know that suicide is the second leading cause of death among teens 1024
positive,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,I lt3 pretty graphics so much better than minimal iconography D
positive,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,This is such a great deal Already thinking about my 2nd trip to  amp I havent even gone on my 1st trip yet p
positive,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,Im flying your fabulous Seductive skies again U take all the stress away from travel
negative,@VirginAmerica SFO-PDX schedule is still MIA.,SFOPDX schedule is still MIA
positive,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,So excited for my first cross country flight LAX to MCO Ive heard nothing but great things about Virgin America 29DaysToGo
positive,I ❤️ flying @VirginAmerica. ☺️👍,I  flying
positive,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,you know what would be amazingly awesome BOSFLL PLEASE I want to fly with only you
negative,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,why are your first fares in May over three times more than other carriers when all seats are available to select
positive,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,I love this graphic
positive,@VirginAmerica I love the hipster innovation. You are a feel good brand.,I love the hipster innovation You are a feel good brand
